                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.64555,                0.28988,                0.35309,                 0.2269,                    nan,                    nan,                    nan,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                    nan,                    nan,                    nan,                0.62946,                0.29238,                 0.3492,                0.22051,                    nan,                    nan,                    nan,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      3,                    nan,                    nan,                    nan,                 0.5772,                0.30895,                0.34724,                0.21753,                    nan,                    nan,                    nan,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      4,                    nan,                    nan,                    nan,                 0.5441,                0.31129,                0.34032,                0.21325,                    nan,                    nan,                    nan,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      5,                    nan,                    nan,                    nan,                0.68774,                 0.2615,                0.33681,                0.21125,                    nan,                    nan,                    nan,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      6,                    nan,                    nan,                    nan,                0.65528,                0.26853,                0.33324,                0.21007,                    nan,                    nan,                    nan,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      7,                    nan,                    nan,                    nan,                0.63947,                0.26723,                 0.3286,                0.20831,                    nan,                    nan,                    nan,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      8,                    nan,                    nan,                    nan,                0.63265,                0.27104,                0.32908,                0.20818,                    nan,                    nan,                    nan,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      9,                    nan,                    nan,                    nan,                0.55606,                0.29381,                0.33264,                0.21084,                    nan,                    nan,                    nan,             1.7574e-05,             1.7574e-05,             1.7574e-05
                     10,                    nan,                    nan,                    nan,                0.61949,                0.27641,                0.33235,                0.20928,                    nan,                    nan,                    nan,             1.0247e-05,             1.0247e-05,             1.0247e-05
