                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2113,                  1.558,                  1.242,                0.61558,                0.50883,                0.55862,                0.41395,                    nan,                    nan,                    nan,              1.785e-05,              1.785e-05,              1.785e-05
                      2,                  1.177,                  1.489,                 1.2141,                 0.6521,                0.49939,                0.56486,                0.42252,                    nan,                    nan,                    nan,             3.3238e-05,             3.3238e-05,             3.3238e-05
                      3,                 1.1448,                 1.3928,                 1.1888,                0.71901,                0.48312,                0.58408,                0.44012,                    nan,                    nan,                    nan,             4.4856e-05,             4.4856e-05,             4.4856e-05
                      4,                 1.1624,                 1.4095,                  1.227,                0.63657,                0.54024,                0.59374,                0.44327,                    nan,                    nan,                    nan,             5.2704e-05,             5.2704e-05,             5.2704e-05
                      5,                 1.1422,                  1.303,                 1.2087,                0.62761,                0.55653,                0.60292,                0.45291,                    nan,                    nan,                    nan,             5.6782e-05,             5.6782e-05,             5.6782e-05
                      6,                 1.1742,                 1.3196,                  1.205,                0.65478,                0.56696,                0.60712,                0.45777,                    nan,                    nan,                    nan,              5.709e-05,              5.709e-05,              5.709e-05
                      7,                 1.1309,                 1.2561,                 1.1861,                0.68522,                0.55827,                0.61351,                0.46127,                    nan,                    nan,                    nan,             4.8314e-05,             4.8314e-05,             4.8314e-05
                      8,                 1.1226,                  1.236,                 1.1555,                0.69405,                0.55589,                0.62004,                0.46705,                    nan,                    nan,                    nan,             3.6533e-05,             3.6533e-05,             3.6533e-05
                      9,                 1.1234,                 1.2051,                 1.1668,                0.70116,                0.56203,                0.63264,                0.47636,                    nan,                    nan,                    nan,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     10,                 1.1089,                  1.196,                 1.1785,                0.72704,                0.55879,                0.63286,                0.47763,                    nan,                    nan,                    nan,             1.2971e-05,             1.2971e-05,             1.2971e-05
