                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8584,                 1.5736,                 1.2289,                 0.5858,                0.21934,                0.24157,                0.11406,                    nan,                    nan,                    nan,             0.00066651,             0.00066651,             0.00066651
                      2,                 1.7354,                 1.1583,                 1.1777,                0.62356,                 0.2337,                0.27471,                0.13389,                    nan,                    nan,                    nan,              0.0012012,              0.0012012,              0.0012012
                      3,                 1.6888,                 1.0837,                  1.154,                0.63085,                0.23637,                0.27075,                0.13384,                    nan,                    nan,                    nan,              0.0016039,              0.0016039,              0.0016039
                      4,                 1.6458,                  1.013,                 1.1358,                0.64894,                 0.2493,                0.28436,                0.14285,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                      5,                 1.6031,                0.95196,                 1.1164,                0.66182,                0.25948,                0.29843,                 0.1527,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                      6,                 1.5645,                0.90902,                 1.1008,                0.67122,                 0.2617,                0.30429,                0.15846,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                      7,                 1.5528,                0.89807,                 1.0728,                0.67635,                0.26233,                0.30213,                 0.1554,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                      8,                 1.5111,                 0.8378,                 1.0696,                 0.6909,                0.27284,                0.31701,                0.16303,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                      9,                 1.4876,                0.80322,                 1.0607,                0.70464,                0.27771,                0.32385,                0.16763,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     10,                 1.4593,                0.77397,                 1.0487,                0.70625,                0.28103,                0.32849,                0.17056,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
